Year,Lake,Station,Species,Sample ID,PFBA (ug/kg),PFBA Qual,PFBS (ug/kg),PFBS Qual,PFDA (ug/kg),PFDA Qual,PFDA_b1 (ug/kg),PFDA_b1 Qual,PFDS (ug/kg),PFDS Qual,PFDS_b1 (ug/kg),PFDS_b1 Qual,PFDS_b2 (ug/kg),PFDS_b2 Qual,PFDS_b3 (ug/kg),PFDS_b3 Qual,PFDoA (ug/kg),PFDoA Qual,PFDoA_b1 (ug/kg),PFDoA_b1 Qual,PFHpA (ug/kg),PFHpA Qual,PFHxA (ug/kg),PFHxA Qual,PFHxDA (ug/kg),PFHxDA Qual,PFHxS  (ug/kg),PFHxS Qual,PFHxS_b1  (ug/kg),PFHxS_b1 Qual,PFNA  (ug/kg),PFNA Qual,PFNA_b1  (ug/kg),PFNA_b1 Qual,PFOA  (ug/kg),PFOA Qual,PFOA_b1  (ug/kg),PFOA_b1 Qual,PFOS (ug/kg),PFOS Qual,PFOS_b1  (ug/kg),PFOS_b1 Qual,PFOS_b2  (ug/kg),PFOS_b2 Qual,PFOS_b3  (ug/kg),PFOS_b3 Qual,PFOS_b4  (ug/kg),PFOS_b4 Qual,PFOS_b5  (ug/kg),PFOS_b5 Qual,PFPeA  (ug/kg),PFPeA Qual,PFTeA  (ug/kg),PFTeA Qual,PFTrA  (ug/kg),PFTrA Qual,PFTrA_b1  (ug/kg),PFTrA_b1 Qual,PFUnA  (ug/kg),PFUnA Qual,PFUnA_b1  (ug/kg),PFUnA_b1 Qual,PFC_Tot  (ug/kg),PFC_Tot Qual,4:2FTS (ug/kg),4:2FTS Qual,6:2FTS (ug/kg),6:2FTS Qual,8:2FTS (ug/kg),8:2FTS Qual,NEtFOSAA (ug/kg),NEtFOSAA Qual,NMeFOSAA (ug/kg),NMeFOSAA Qual,3:3FTCA (ug/kg),3:3FTCA Qual,5:3FTCA (ug/kg),5:3FTCA Qual,7:3FTCA (ug/kg),7:3FTCA Qual,11Cl-PF3OUdS (ug/kg),11Cl-PF3OUdS Qual,ADONA (ug/kg),ADONA Qual,HFPO_DA (ug/kg),HFPO_DA Qual,NFDHA (ug/kg),NFDHA Qual,PF3ONS (ug/kg),PF3ONS Qual,PFDOS (ug/kg),PFDOS Qual,PFEESA (ug/kg),PFEESA Qual,PFHpS (ug/kg),PFHpS Qual,PFMBA (ug/kg),PFMBA Qual,PFMPA (ug/kg),PFMPA Qual,PFNS (ug/kg),PFNS Qual,PFOSA (ug/kg),PFOSA Qual,PFPeS (ug/kg),PFPeS Qual
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905001,1.236884979,,0.004666667,BDL-LAB,0.338872597,,,,0.051,BDL-LAB,,,,,,,0.166666667,BDL-LAB,,,0,BDL-LAB,0.015666667,BDL-LAB,,,0.098403389,,,,0.244379277,,,,0.046,BDL-LAB,,,7.867057674,,,,,,,,,,,,0,BDL-LAB,0.052333333,BDL-LAB,0.172666667,BDL-LAB,,,0.474095797,,,,10.76869371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905002,3.799493029,,0.010666667,BDL-LAB,0.595437262,,,,0.061850444,,,,,,,,0.393333333,BDL-LAB,,,0.007333333,BDL-LAB,0.028666667,BDL-LAB,,,0.083903676,,,,0.40278834,,,,0.022,BDL-LAB,,,15.60430925,,,,,,,,,,,,0,BDL-LAB,0.159666667,BDL-LAB,0.254333333,BDL-LAB,,,0.957667934,,,,22.38144994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905003,1.9312877,,0,BDL-LAB,0.827956989,,,,0.099921322,,,,,,,,0.393653291,,,,0,BDL-LAB,0.01,BDL-LAB,,,0.233674272,,,,0.513768686,,,,0.106,BDL-LAB,,,18.46393916,,,,,,,,,,,,0,BDL-LAB,0.269,BDL-LAB,0.627327564,,,,1.186729609,,,,24.66325859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905004,2.450785773,,0,BDL-LAB,0.526054591,,,,0.078301627,,,,,,,,0.140060656,,,,0.01,BDL-LAB,0.050333333,BDL-LAB,,,0.101461263,,,,0.483043838,,,,0.062666667,BDL-LAB,,,11.46126275,,,,,,,,,,,,0,BDL-LAB,0.134333333,BDL-LAB,0.040666667,BDL-LAB,,,0.674386545,,,,16.21335704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905005,3.659649123,,0.023333333,BDL-LAB,1.280382775,,,,0.088357257,,,,,,,,0.225,BDL-LAB,,,0,BDL-LAB,0.016666667,BDL-LAB,,,0.142264753,,,,1.16969697,,,,0.066666667,BDL-LAB,,,22.3661882,,,,,,,,,,,,0,BDL-LAB,0.148666667,BDL-LAB,0.356,BDL-LAB,,,1.486443381,,,,31.02931579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905006,8.880013149,,0.012333333,BDL-LAB,0.620973044,,,,0.073635766,,,,,,,,0.222550953,,,,0.012666667,BDL-LAB,0.024666667,BDL-LAB,,,0.086127548,,,,0.47600263,,,,0.040666667,BDL-LAB,,,11.66042078,,,,,,,,,,,,0,BDL-LAB,0.098666667,BDL-LAB,0.068333333,BDL-LAB,,,0.680802104,,,,22.9578593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905007,0.97659709,,0.031333333,BDL-LAB,0.440227704,,,,0.037333333,BDL-LAB,,,,,,,0.236666667,BDL-LAB,,,0.031333333,BDL-LAB,0.008,BDL-LAB,,,0.11258697,,,,0.378557875,,,,0.084666667,BDL-LAB,,,11.90132827,,,,,,,,,,,,0,BDL-LAB,0.06,BDL-LAB,0.045666667,BDL-LAB,,,0.464895636,,,,14.80919355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905008,0.215333333,BDL-LAB,0.012,BDL-LAB,0.579465541,,,,0.062447257,,,,,,,,0.242756681,,,,0.006,BDL-LAB,0.004,BDL-LAB,,,0.118706048,,,,0.412658228,,,,0.051,BDL-LAB,,,15.59268636,,,,,,,,,,,,0,BDL-LAB,0.231223629,,0.252601969,,,,0.911954993,,,,18.69283404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905009,1.856092734,,0,BDL-LAB,0.31043257,,,,0.018,BDL-LAB,,,,,,,0.084,BDL-LAB,,,0.013,BDL-LAB,0.022333333,BDL-LAB,,,0.09245123,,,,0.348035058,,,,0.057,BDL-LAB,,,6.326265196,,,,,,,,,,,,0,BDL-LAB,0.094,BDL-LAB,0.049,BDL-LAB,,,0.590613514,,,,9.861223636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Michigan,LM-Sturgeon Bay,Lake Trout,20110905010,0.163666667,BDL-LAB,0.005666667,BDL-LAB,0.388307857,,,,0.070333333,BDL-LAB,,,,,,,0.080666667,BDL-LAB,,,0.021666667,BDL-LAB,0.010333333,BDL-LAB,,,0.072405471,,,,0.27487262,,,,0.043333333,BDL-LAB,,,11.47573076,,,,,,,,,,,,0,BDL-LAB,0.04,BDL-LAB,0.110666667,BDL-LAB,,,0.444355055,,,,13.2020051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
